,read_id,start,end,Sample
25,940853ca-afa2-4912-9f6a-b50ba2812119,189846,190793,E Total RNA
26,baeffb30-f3b2-40c3-9acf-d721dc7ba7fd,189880,190663,E Total RNA
27,3605a7b6-06ae-46fa-860f-de69b3b1e48a,189909,191011,E Total RNA
28,bc4bddbf-07f0-43b9-8066-94d4e1df4854,190017,190613,E Total RNA
29,cd53c8ab-31ae-48e3-a912-060d93adfc47,190040,190793,E Total RNA
30,13afe12d-6be2-490d-b35f-c678be5e73ae,190110,191741,E Total RNA
31,df480c4a-046b-4377-a52c-b688773c4692,190111,190584,E Total RNA
32,59683ae1-74e9-40ce-ab18-0785555e735f,190121,190793,E Total RNA
33,76cdede7-0db0-4593-bf8d-24cdfb8b8426,190164,191719,E Total RNA
34,7071a003-7aad-4cc0-9935-b310e58b548f,190164,190521,E Total RNA
35,68cb4816-a733-4a6d-8df6-b8b0bc109979,190174,193484,E Total RNA
36,8321c34f-f257-41c5-aca0-76170c403f10,190178,190793,E Total RNA
37,f91d0701-3d65-40c5-869e-9982e437796b,190259,190793,E Total RNA
38,078f62ab-ffaa-468e-b024-e33e58912e49,190277,191723,E Total RNA
39,2521eed2-f112-4d95-97a8-2746fa6e4a1b,190277,191478,E Total RNA
40,3fb0b764-d9ea-4dd2-96d9-c2d839b4e8db,190291,191716,E Total RNA
41,655449ac-a732-4976-8fe3-1a0b1b9146bf,190356,190710,E Total RNA
42,938649c6-dc35-430e-9fd8-a7d0593cff95,190542,191717,E Total RNA
43,c28623e3-d484-4c90-b4e5-6b49ad830758,190587,191719,E Total RNA
44,22001698-c744-4f72-8be0-8ff7326b4c78,190689,191674,E Total RNA
45,4f81643a-395a-48eb-a78a-5e200f53dc1a,190810,191709,E Total RNA
46,973280ca-f94d-4f19-a22b-b936eb9179a3,190814,191705,E Total RNA
47,416e1c5e-8d9d-4345-91ff-6300a9406733,190956,191716,E Total RNA
48,0bca0028-2c5e-4fa6-8d69-27b8dca0c1cd,190976,191583,E Total RNA
49,9149330d-ed29-47bf-a023-7adf7778eb87,190989,191591,E Total RNA
50,02561275-2306-4685-a3f7-1312e01cc458,191023,191434,E Total RNA
51,53477a72-1195-4907-87d0-764161f10f5b,191036,191690,E Total RNA
52,4b5fba48-4fcf-4188-8ff1-6f389ed5553f,191074,191739,E Total RNA
53,962a61e5-167f-44c7-8a60-f40e429a31a0,191106,191604,E Total RNA
54,2b7e2aa7-1bf7-4f52-af1d-a39b464e2be1,191179,191709,E Total RNA
55,38aed3f8-3e21-40d7-8fba-b859e5d1f9da,191338,192314,E Total RNA
56,ca87c065-8627-402a-a4cb-afb93d233ea0,191385,191671,E Total RNA
57,c8f1b9c5-b37b-46a6-915f-c560c6ef3f6c,191560,192610,E Total RNA
58,d529a3b1-8525-4791-84b0-b066b00d2836,191601,192776,E Total RNA
59,a6c67e8c-490e-47bd-9540-6efc89cbd902,192166,192320,E Total RNA
60,bf6f35b4-2396-41e7-8a74-8b3c243c449b,192215,193486,E Total RNA
61,93c7d558-2946-4c4c-881d-7514c4be974b,192625,193508,E Total RNA
62,512b5078-21d0-422e-bc94-8be08235fe7f,192625,193149,E Total RNA
63,edb857f6-327c-49ef-96b3-4175b3a304a5,192627,193314,E Total RNA
64,6c0ad811-1f31-4bef-b6cc-42e0f83f72dc,192627,193465,E Total RNA
65,7126ba8b-61bb-4828-b67b-3c701e0d01d0,192628,193286,E Total RNA
66,b67c2b29-6e05-4745-82c0-154a8b11a64d,192635,193484,E Total RNA
67,9aa78b60-455f-4349-9489-7d724a938947,192637,193486,E Total RNA
68,5c426cf7-dfbe-4e1b-b55d-54dafe38d8bc,192637,193054,E Total RNA
69,792f6dc2-bcfb-4d88-8aea-56d99466eb37,192645,193409,E Total RNA
70,12deffd1-192a-4412-99e0-203fe615ef25,192645,193490,E Total RNA
71,92e88703-ab68-4ae4-b472-e069e38add27,192647,193441,E Total RNA
72,d80dfe15-898d-471e-a681-302dae7648d2,192647,193732,E Total RNA
73,83f3d39b-c08a-4c3e-afdb-7d97b3d21220,192655,193490,E Total RNA
74,d5b33fcd-dae9-409f-abf2-291de4bddab5,192656,193490,E Total RNA
75,402d9ab1-6739-4a63-8ce9-e40e6fc989dc,192662,193476,E Total RNA
76,5bf1899c-4785-4c16-962d-ff5a807685ee,192696,193478,E Total RNA
77,287864c7-0f03-4758-9e96-3057bcb29fea,192717,193487,E Total RNA
78,c30df2a7-a33b-4691-bba4-45b89ff01e44,192723,193449,E Total RNA
79,1a4fa110-fa0c-4193-b339-f2bc2b15e0a0,192823,193153,E Total RNA
80,06b2dfae-0310-4ffd-b10d-d55108d56b44,192888,193490,E Total RNA
81,c3df1388-d0f5-4db2-a1ce-1c0ece8c8a3b,193530,195689,E Total RNA
82,176bc0bd-32d0-4027-ac3c-6b038eb22f08,193545,194844,E Total RNA
83,c23a8003-e536-42b8-bb1c-2eb08acbfe3e,194633,196488,E Total RNA
84,5581d730-c0fa-4665-8f17-3e0106564236,194794,195591,E Total RNA
85,80d3bbbe-30a8-43af-a26a-8e32ef05f8e8,194794,196607,E Total RNA
86,89b9f2e1-f15a-412e-b504-a8d4dd9ea983,194794,195819,E Total RNA
87,7b87f8eb-cd0d-4f48-b4ad-d2c304335680,194797,197096,E Total RNA
88,95cea0eb-e434-43bc-adee-e41c7a9d6878,194798,196720,E Total RNA
89,7bbc6401-6ded-4658-8138-2e7faabf3d8e,194798,195796,E Total RNA
90,bc83a381-e79f-408d-a728-9c448eb27b1c,194812,195490,E Total RNA
91,cf3d4e56-de94-43ee-a949-11c590327238,189722,190058,E rd RNA
92,18d900f1-f3a6-4eae-8cf2-4bb383f3d829,189722,189933,E rd RNA
93,3ce71125-07ed-4555-a3f8-ddb9e99a3d04,189724,190280,E rd RNA
94,d10c0170-b2b5-40c5-8bdf-11b9916687dc,189727,189859,E rd RNA
95,fd164b84-2c63-4ef1-a517-7b074f612e2a,189727,190175,E rd RNA
96,85f22438-9017-4085-958a-8d571fe4f390,189727,190189,E rd RNA
97,7b195c48-eeba-42b5-aed2-0bc1ea4c6572,189727,190053,E rd RNA
98,0cc4ed6f-2c50-44d4-b895-37732acda383,189728,189859,E rd RNA
99,a67ea1b3-0b2c-49b6-b25f-9cea2f4f2585,189732,189839,E rd RNA
100,0c2b80f0-75a7-4b96-8ff5-60aea8095611,189788,190144,E rd RNA
101,795e279e-e95e-417e-92c3-48bbe8f0255c,189789,190157,E rd RNA
102,1b818ae0-595a-403b-a922-c096fde843e6,189826,190798,E rd RNA
103,4e83e7fa-7489-4fca-bda7-04a7d3d25f03,189838,189997,E rd RNA
